# CMUdict fallback pronunciations converted from ARPAbet
a	IX
homesteaders	h'OWmstEHdERz
homesteads	h'OWmst"EHdz
homestretch	h'OWmstr"EHtSH
hometown	h'OWmt"AWn
hometowns	h'OWmt"AWnz
homeward	h'OWmwERd
homewood	h'OWmw"UHd
homework	h'OWmw"ERk
homeworker	h'OWmw"ERkER
homeworkers	h'OWmw"ERkERz
homeworld	h'OWmw"ERLXd
homey	h'OWmIY
homeyer	h'OWmIYER
homicidal	h"AAmIXs'AYdIXLX
homicide	h'AAmIXs"AYd
homicides	h'AAmIXs"AYdz
homiletic	h"AAmIXl'EHtIHk
homilies	h'OWmIXlIYz
homily	h'AAmIXlIY
hominem	h'AAmIHnEHm
homing	h'OWmIHNG
hominid	h'AAmIXnIHd
hominy	h'AAmIHnIY
homme	h'AAm
hommel	h'AAmIXLX
hommes	h'AAmz
homo	h'OWmOW
homogeneity	h"AAmIXdZHIXn'IYIXtIY
homogeneous	h"OWmIXdZH'IYnIYIXs
homogenization	hOWm'AAdZHIXnIHz"EYSHIXn
homogenize	hOWm'AAdZHIXn"AYz
homogenized	hOWm'AAdZHIXn"AYzd
homogenous	hIXm'AAdZHIXnIXs
homogeny	hOWm'AAdZHIXnIY
homola	hIXm'AAlIX
homolka	hIXm'AALXkIX
homologous	hAAm'AAlIXgIXs
homonym	h'AAmIXnIHm
homonyms	h'AAmIXnIHmz
homophobia	h"OWmIXf'OWbIYIX
homophobic	h"OWmIXf'OWbIHk
homophone	h'OWmOWf"OWn
homophones	h'OWmOWf"OWnz
homosapien	h"OWmOWs'EYp"IYIXn
homosapiens	h"OWmOWs'EYp"IYIXnz
homosexual	h"OWmOWs'EHkSH"AHwIXLX
homosexuality	h"OWmOWs"EHkSHUW'AElIXt"IY
homosexuals	h"OWmOWs'EHkSH"UWIXLXz
homosporous	h"OWmOWsp"ERIXs
homozygote	h"OWmOWz'AYgOWt
homozygous	h"OWmOWz'AYgIXs
homrich	h'AAmrIHk
homs	h'AAmz
homsey	h'AAmzIY
homuth	h'AAmUWTH
hon	h'AAn
honaker	h'AAnIXkER
honan	h'OWnIXn
honasan	h'AAnIXzIXn
honcho	h'AAntSHOW
honda	h'AAndIX
honda's	h'AAndIXz
hondas	h'AAndIXs
honderich	h'AAndERIHk
hondo	h'AAndOW
honduran	hAAnd'UHrIXn
hondurans	hAAnd'UHrIXnz
honduras	hAAnd'UHrIXs
hone	h'OWn
honea	h'AAnIYIX
honeck	h'OWnEHk
honecker	h'OWnEHkER
honecker's	h'OWnEHkERz
honed	h'OWnd
honer	h'OWnER
hones	h'OWnz
honest	'AAnIXst
honestly	'AAnIXstlIY
honestok	h'OWnIXst"AAk
honesty	'AAnIXstIY
honey	h'AHnIY
honeybee	h'AHnIYb"IY
honeybees	h'AHnIYb"IYz
honeycomb	h'AHnIYk"OWm
honeycutt	h'AHnIYkIXt
honeydew	h'AHnIYd"UW
honeyman	h'AAnIYmIXn
honeymoon	h'AHnIYm"UWn
honeymooned	h'AHnIYm"UWnd
honeymooner	h'AHnIYm"UWnER
honeymooners	h'AHnIYm"UWnERz
honeymoons	h'AHnIYm"UWnz
honeys	h'AHnIYz
honeysuckle	h'AHnIYs"AHkIXLX
honeysuckles	h'AHnIYs"AHkIXLXz
honeywell	h'AHnIYw"EHLX
honeywell's	h'AHnIYw"EHLXz
hong	h'AANG
hongkong	h'AANGkAANG
hongwei	h'AANGw'EY
honig	h'AAnIHg
honing	h'OWnIHNG
honk	h'AANGk
honking	h'AANGkIHNG
honks	h'AANGks
honky	h'AANGkIY
honn	h'AAn
honnold	h'AAn"OWLXd
honold	h'AAnOWLXd
honolulu	h"AAnIXl'UWlUW
honolulu's	h"AAnIXl'UWlUWz
honor	'AAnER
honor's	'AAnERz
honora	AAn'OWrIX
honorable	'AAnERIXbIXLX
honorably	'AAnERIXblIY
honoraria	"AAnER'EHrIYIX
honorarium	"AAnER'EHrIYIXm
honorariums	"AAnER'EHrIYIXmz
honorary	'AAnER"EHrIY
honore	'AAnER
honored	'AAnERd
honoree	AAnER'IY
honorees	AAnER'IYz
honoria	AAn'ERIYIX
honorific	"AAnER'IHfIHk
honoring	'AAnERIHNG
honors	'AAnERz
honour	'AAnER
honour's	'AAnERz
honourable	'AAnERIXbIXLX
honourably	'AAnERIXblIY
honourary	'AAnER"EHrIY
honoured	'AAnERd
hons	h'AAnz
honsberger	h'AAnsbERgER
honse	h'AAns
honshu	h'AAnSHUW
honsinger	h'AAnsIHNGER
hontz	h'AAnts
hoo	h'UW
hoobler	h'UWblER
hooch	h'UWtSH
hoochie	h'UWtSHIY
hoock	h'UWk
hood	h'UHd
hooded	h'UHdIHd
hoodlum	h'UHdlIXm
hoodlums	h'UWdlIXmz
hoods	h'UHdz
hoodwink	h'UHdw"IHNGk
hoodwinked	h'UHdw"IHNGkt
hooey	h'UWIY
hoof	h'UWf
hoofed	h'UHft
hoofs	h'UHfs
hoog	h'UWg
hooge	h'UWdZH
hoogland	h'UWglIXnd
hoogovens	h'UWgIXvIHnz
hook	h'UHk
hook's	h'UHks
hooke	h'UHk
hooked	h'UHkt
hooker	h'UHkER
hooker's	h'UHkERz
hookers	h'UHkERz
hooking	h'UHkIHNG
hooks	h'UHks
hookup	h'UHk"AHp
hookups	h'UHk"AHps
hookworm	h'UHkwERm
hookworms	h'UHkwERmz
hooky	h'UHkIY
hoole	h'UWLX
hooley	h'UWlIY
hooligan	h'UWlIHgIXn
hooliganism	h'UWlIHgIXn"IHzIXm
hooligans	h'UWlIHgIXnz
hoolihan	h'UWlIHhAEn
hoolihan's	h'UWlIHhAEnz
hoon	h'UWn
hoonah	h'UWnIX
hoop	h'UWp
hooper	h'UWpER
hooperman	h'UWpERmIXn
hoopes	h'UWps
hoopingarner	hUWp'IHNGgAArnER
hoopla	h'UWpl"AA
hoopoe	h'UWp"UW
hoops	h'UWps
hooray	hUHr'EY
hoos	h'UWz
hoose	h'UWs
hooser	h'UWzER
hoosier	h'UWZHER
hoosiers	h'UWzyERz
hoot	h'UWt
hooted	h'UWtIHd
hooten	h'UWtIXn
hooter	h'UWtER
hooters	h'UWtERz
hootie	h'UWtIY
hootman	h'UWtmIXn
hooton	h'UWtIXn
hoots	h'UWts
hooven	h'UWvIXn
hoover	h'UWvER
hoover's	h'UWvERz
hooves	h'UHvz
hoovler	h'UWvlER
hop	h'AAp
hopalong	h'AApIXlAANG
hopburg	h'AApbERg
hopburg's	h'AApbERgz
hope	h'OWp
hope's	h'OWps
hoped	h'OWpt
hopeful	h'OWpfIXLX
hopefully	h'OWpfIXlIY
hopefulness	h'OWpfIXLXnIHs
hopefuls	h'OWpfIXLXz
hopeless	h'OWplIXs
hopelessly	h'OWplIXslIY
hopelessness	h'OWplIXsnIXs
hopes	h'OWps
hopewell	h'OWpw"EHLX
hopf	h'AApf
hopfensperger	h'AApfIHnspERgER
hopfer	h'AApfER
hopfinger	h'AApfIHNGER
hopgood	h'AApg"UHd
hopi	h'OWpIY
hoping	h'OWpIHNG
hopke	h'OWpk
hopkin	h'AApkIHn
hopkin's	h'AApkIHnz
hopkins	h'AApkIHnz
hopkinson	h'AApkIHnsIXn
hopkinton	h'AApkIHntIXn
hopkyns	h'AApkIHnz
hopman	h'AApmIXn
hopp	h'AAp
hoppa	h'AApIX
hoppe	h'AAp
hopped	h'AApt
hoppel	h'AApIXLX
hopper	h'AApER
hopper's	h'AApERz
hoppers	h'AApERz
hoppert	h'AApERt
hoppes	h'AAps
hopping	h'AApIHNG
hopple	h'AApIXLX
hopps	h'AAps
hoppy	h'AApIY
hops	h'AAps
hopscotch	h'AApsk"AAtSH
hopscotched	h'AApsk"AAtSHt
hopson	h'AApsIXn
hopton	h'AAptIXn
hopwood	h'AApw"UHd
hora	h'OWrIX
horace	h'OWrIXs
horace's	h'OWrIXsIXz
horacek	h'OWrIXtSHEHk
horacia	hOWr'AAsIYIX
horacio	hOWr'EYsIYOW
horak	h'OWrIXk
horan	h'OWrIXn
horatia	hOWr'AASHIX
horatian	hER'EYSHIXn
horatio	hER'EYSHOW
horatio's	hOWr'EYSHIYOWz
horatius	hOWr'EYSHIXs
horch	h'OWrk
horchow	h'OWrtSHOW
hord	h'OWrd
horde	h'OWrd
hordes	h'OWrdz
horehound	h'AArh"AWnd
horejsi	hOWr'EYysIY
horelick	h'OWrIXlIHk
horen	h'OWrIXn
horenstein	h'OWrIXnstAYn
horgan	h'OWrgIXn
horgavitt	h'OWrgIXv"IHt
horger	h'OWrgER
hori	h'OWrIY
horiguchi	h"OWrIHg'UWtSHIY
horine	h'OWrIYn
horiuchi	hOWrIY'UWtSHIY
horizon	hER'AYzIXn
horizon's	hER'AYzIXnz
horizons	hER'AYzIXnz
horizontal	h"OWrIXz'AAntIXLX
horizontally	h"OWrIHz'AAntIXlIY
horkey	h'OWrkIY
horky	h'OWrkIY
horlacher	h'OWrlIXkER
horlick	h'OWrlIHk
horman	h'OWrmIXn
hormann	h'OWrmIXn
hormats	h'OWrmAEts
hormel	hOWrm'EHLX
hormonal	h'OWrm"OWnIXLX
hormone	h'OWrm"OWn
hormones	h'OWrm"OWnz
hormuz	h'OWrmUWz
horn	h'OWrn
horn's	h'OWrnz
hornack	h'OWrnIXk
hornaday	h'OWrnIXd"EY
hornak	h'OWrnIXk
hornback	h'OWrnb"AEk
hornbaker	h'OWrnbIXkER
hornbeak	h'OWrnbIXk
hornbeck	h'OWrnb"EHk
hornberger	h'OWrnbERgER
hornbill	h'OWrnb"IHLX
hornbills	h'OWrnb"IHLXz
hornblende	h'OWrnbl"EHnd
hornblower	h'OWrnbl"OWER
hornbook	h'OWrnb"UHk
hornbostel	h'OWrnbIXstIXLX
hornbrook	h'OWrnbr"UHk
hornbuckle	h'OWrnbIXkIXLX
hornburg	h'OWrnbERg
hornby	h'OWrnbIY
horne	h'OWrn
horned	h'OWrnd
hornell	h"OWrn'EHLX
horner	h'OWrnER
hornere	h'OWrnER
hornet	h'OWrnIHt
hornet's	h'OWrnIXts
hornets	h'OWrnIXts
horney	h'OWrnIY
hornick	h'OWrnIHk
hornig	h'OWrnIHg
hornik	h'OWrnIHk
horning	h'OWrnIHNG
hornless	h'OWrnlIXs
hornlike	h'OWrnl"AYk
hornor	h'OWrnER
hornpipe	h'OWrnpAYp
horns	h'OWrnz
hornsby	h'OWrnzbIY
hornstein	h'OWrnst"AYn
hornung	h'OWrnIXNG
horny	h'OWrnIY
hornyak	h'OWrnyAEk
horoscope	h'OWrIXsk"OWp
horoscopes	h'OWrIXsk"OWps
horovitz	h'AArIXvIHts
horowitz	h'OWrOWIHts
horr	h'OWr
horrell	h'OWrIXLX
horrendous	h"OWr'EHndIXs
horrendously	h"OWr'EHndIXslIY
horrible	h'OWrIXbIXLX
horribly	h'OWrIXblIY
horrid	h'OWrIXd
horrific	hOWr'IHfIHk
horrified	h'OWrIXf"AYd
horrify	h'OWrIXf"AY
horrifying	h'OWrIXf"AYIHNG
horrigan	h'OWrIXgIXn
horrocks	h'OWrIXks
horror	h'OWrER
horrors	h'OWrERz
hors	h'OWrz
horsch	h'OWrSH
horse	h'OWrs
horse's	h'OWrsIXz
horseback	h'OWrsb"AEk
horsed	h'OWrst
horseflesh	h'OWrsfl"EHSH
horsehead	h'OWrsh"EHd
horsely	h'OWrslIY
horseman	h'OWrsmIXn
horsemanship	h'OWrsmIXnSHIHp
horsemen	h'OWrsmIXn
horseplay	h'OWrspl"EY
horsepower	h'OWrsp"AWER
horseradish	h'OWrsr"AEdIHSH
horses	h'OWrsIXz
horseshit	h'OWrsSH"IHt
horseshoe	h'OWrsSH"UW
horseshoes	h'OWrsSH"UWz
horsetail	h'OWrst"EYLX
horsetails	h'OWrst"EYLXz
horsey	h'OWrsIY
horsfall	h'OWrsfIXLX
horsham	h'OWrSHIXm
horsham's	h'OWrSHIXmz
horsing	h'OWrsIHNG
horsley	h'OWrslIY
horsman	h'OWrsmIXn
horst	h'OWrst
horstman	h'OWrstmIXn
horstmann	h'OWrstmIXn
horta	h'OWrtIX
horten	h'OWrtIXn
horter	h'OWrtER
horticultural	h"OWrtIXk'AHLXtSHERIXLX
horticulture	h'OWrtIHk"AHLXtSHER
horticulturist	h"OWrtIHk'AHLXtSHERIHst
hortman	h'OWrtmIXn
horton	h'OWrtIXn
horus	h'OWrIXs
horvac	h'OWrvAEk
horvac's	h'OWrvAEks
horvat	h'OWrvIXt
horvath	h'OWrvAETH
horvath's	h'OWrvAETHs
horvitz	h'OWrvIHts
horwath	h'OWrwAATH
horwich	h'OWrwIHk
horwitz	h'OWrwIHts
hosack	h'AAsIXk
hosakawa	hOWsIXk'AAwIX
hosch	h'AASH
hose	h'OWz
hosea	hOWs'IYIX
hosea's	hOWz'IYIXz
hosed	h'OWzd
hosek	h'OWsEHk
hoselton	hIXs'EHLXtIXn
hoses	h'OWzIHz
hosey	h'OWzIY
hosford	h'AAsfERd
hoshaw	h'AASHAA
hoshimoto	hOWSHIYm'OWtOW
hosick	h'AAsIHk
hosie	h'OWzIY
hosiery	h'OWZHERIY
hosing	h'OWzIHNG
hoskin	h'AAskIHn
hosking	h'AAskIHNG
hoskins	h'AAskIHnz
hoskinson	h'AAskIHnsIXn
hoskyns	h'AAskIHnz
hosler	h'AAsIXlER
hosley	h'AAslIY
hosman	h'AAsmIXn
hosner	h'AAsnER
hosni	h'OWznIY
hosoka	h"OWs'AAkIX
hosoka's	h"OWs'AAkIXz
hosokawa	h"OWsIXk'AAwIX
hosokawa's	h"OWsIXk'AAwIXz
hospice	h'AAspIXs
hospice's	h'AAspIXsIHz
hospices	h'AAspIXsIHz
hospitable	h'AAsp'IHtIXbIXLX
hospital	h'AAsp"IHtIXLX
hospital's	h'AAsp"IHtIXLXz
hospitality	h"AAspIXt'AElIXtIY
hospitalization	h"AAspIHtIXlIXz'EYSHIXn
hospitalizations	h"AAspIHtIXlIXz'EYSHIXnz
hospitalize	h'AAsp"IHtIXl"AYz
hospitalized	h'AAspIHtIXl"AYzd
hospitals	h'AAsp"IHtIXLXz
hoss	h'AAs
hossack	h'AAsIXk
hossain	hIXs'EYn
hossein	h'AAs"EYn
hosseini	hOWsEY'IYnIY
hossler	h'AAsIXlER
host	h'OWst
host's	h'OWsts
hostage	h'AAstIHdZH
hostages	h'AAstIXdZHIXz
hosted	h'OWstIHd
hostel	h'AAstIXLX
hostels	h'AAstIXLXz
hostench	h'AAstIXntSH
hoster	h'OWstER
hosterman	h'OWstERmIXn
hostess	h'OWstIXs
hostesses	h'OWstIXsIXz
hostetler	h'AAstIHtIXlER
hostetter	h'AAstIHtER
hostettler	h'AAstIHtIXlER
hostile	h'AAstIXLX
hostilities	hAAst'IHlIXtIYz
hostility	hAAst'IHlIXtIY
hosting	h'OWstIHNG
hostler	h'AAslER
hosts	h'OWsts
hostutler	h'AAstUWtIXlER
hot	h'AAt
hotaling	h'AAtIXlIHNG
hotaling's	h'AAtIXlIHNGz
hotard	h'AAtERd
hotbed	h'AAtb"EHd
hotbeds	h'AAtb"EHdz
hotcake	h'AAtk"EYk
hotcakes	h'AAtk"EYks
hotchkin	h'AAtSHkIHn
hotchkiss	h'AAtSHkIHs
hotdog	h'AAtd"AAg
hotdogs	h'AAtd"AAgz
hote	h'OWt
hotel	hOWt'EHLX
hotel's	hOWt'EHLXz
hotelier	hOWt'EHLXyER
hoteliers	hOWt'EHLXyERz
hotels	hOWt'EHLXz
hoten	h'OWtIXn
hoth	h'AATH
hothouse	h'AAth"AWs
hothouses	h'AAth"AWsIHz
hotlanta	hAAtl'AEntIX
hotline	h'AAtl"AYn
hotlines	h'AAtl"AYnz
hotly	h'AAtlIY
hotmail	h'AAtm"EYLX
hotpot	h'AAtp"AAt
hots	h'AAts
hotshot	h'AASH"AAt
hotshots	h'AASH"AAts
hotspot	h'AAtsp"AAt
hott	h'AAt
hottel	h'AAtIXLX
hottelet	h'AAtlEHt
hottelet's	h'AAtlEHts
hottenstein	h'AAtIXnstAYn
hotter	h'AAtER
hottest	h'AAtIXst
hottinger	h'AAtIHNGER
hottle	h'AAtIXLX
hottman	h'AAtmIXn
hotwire	h'AAtw"AYER
hotwired	h'AAtw"AYERd
hotz	h'AAts
hotze	h'OWtz
hou	h'UW
houchen	h'AWkIXn
houchens	h'AWkIXnz
houchin	h'AWkIHn
houchins	h'AWkIHnz
houck	h'AWk
houdaille	h'UWd"EYLX
houde	h'AWd
houdek	h'AWdIHk
houdeshell	h'UWdIHSHIXLX
houdini	hUWd'IYnIY
houdini's	hUWd'IYnIYz
houff	h'OWf
houg	h'AWg
houge	h'AWdZH
hougen	h'AWgIXn
hough	h'AHf
hougham	h'AWIXm
houghland	h'AWlIXnd
houghs	h'AWz
houghtaling	h'AAtIXlIHNG
houghton	h'AAtIXn
houghton's	h'AAtIXnz
hougland	h'AWglIXnd
houk	h'AWk
houle	h'AWLX
houlihan	h'UWlIHhAEn
houlihan's	h'UWlIHhAEnz
houlton	h'OWLXtIXn
hound	h'AWnd
hounded	h'AWndIHd
hounding	h'AWndIHNG
hounds	h'AWndz
hounshell	h'AWnSHIXLX
houp	h'UWp
houpt	h'UWpt
hour	'AWER
hour's	'AWERz
hourglass	'AWERgl"AEs
hourglasses	'AWERgl"AEsIHz
hourigan	'AWrIHgAEn
hourihan	AWr'IYhAAn
hourlong	'AWrl"AANG
hourly	'AWrlIY
hours	'AWERz
housand	h'AWsIXnd
housden	h'AWsdIXn
house	h'AWs
house's	h'AWsIHz
houseal	h'AWsIXLX
houseboat	h'AWsb"OWt
houseboats	h'AWsb"OWts
housebroken	h'AWsbr"OWkIXn
housecleaning	h'AWskl"IYnIHNG
housed	h'AWzd
houseful	h'AWsfIXLX
houseguest	h'AWsgEHst
houseguests	h'AWsgEHsts
household	h'AWsh"OWLXd
household's	h'AWsh"OWLXdz
householder	h'AWsh"OWLXdER
householders	h'AWsh"OWLXdERz
households	h'AWsh"OWLXdz
housekeeper	h'AWsk"IYpER
housekeepers	h'AWsk"IYpERz
housekeeping	h'AWsk"IYpIHNG
houseknecht	h'AWsknIHkt
housel	h'AWsIXLX
houseman	h'AWsmIXn
houseman's	h'AWsmIXnz
housen	h'AWsIXn
houser	h'AWzER
houseraising	h'AWsr"EYzIHNG
houses	h'AWsIXz
houseware	h'AWsw"EHr
housewares	h'AWsw"EHrz
housewarming	h'AWsw"AAmIHNG
housewife	h'AWsw"AYf
housewives	h'AWsw"AYvz
housework	h'AWsw"ERk
houseworth	h'AWsw"ERTH
housewright	h'AWsr"AYt
housh	h'AWSH
housholder	h'AWSHOWLXdER
housing	h'AWzIHNG
housings	h'AWzIHNGz
houska	h'AWskIX
housley	h'AWslIY
housman	h'AWsmIXn
houston	hy'UWstIXn
houston's	hy'UWstIXnz
houstonian	h"UWst'OWnIYIXn
hout	h'AWt
houtchens	h'AWtSHIXnz
houten	h'AWtEHn
houten's	h'AWtEHnz
houtman	h'AWtmIXn
houts	h'AWts
houtz	h'AWts
houx	h'UW
houy	h'AAAY
houze	h'AWz
hovan	h'OWvIXn
hovanec	hIXv'AEnIHk
hovater	h'OWvIXtER
hovatter	h'AAvIXtER
hovda	h'AAvdIX
hovde	h'OWvd
hovden	h'AAvdIXn
hove	h'OWv
hovel	h'AHvIXLX
hovels	h'AHvIXLXz
hoven	h'OWvIXn
hover	h'AHvER
hovercraft	h'AHvERkr"AEft
hovered	h'AHvERd
hoverflies	h'AHvERfl"AYz
hoverfly	h'AHvERfl"AY
hovering	h'AHvERIHNG
hovermale	h'AHvERmIXLX
hovers	h'AHvERz
hoverson	h'AHvERsIXn
hovey	h'OWvIY
hovhaness	h"AAvh'AEnIHs
hoving	h'OWvIHNG
hovious	h'OWvIYIXs
hovis	h'OWvIHs
hovland	h'AAvlIXnd
hovnanian	h"AAvn'EYnIYIXn
hovorka	hIXv'OWrkIX
hovsepian	hIXvs'IYpIYIXn
hovy	h'OWvIY
how	h'AW
how'd	h'AWd
how're	h'AWER
how's	h'AWz
howald	h'AWIXLXd
howard	h'AWERd
howard's	h'AWERdz
howarth	h'AWAArTH
howat	h'AWIXt
howatt	h'AWIXt
howcroft	h'AWkrIXft
howden	h'AWdIXn
howdeshell	h'AWdIHSHEHLX
howdy	h'AWdIY
howdydoody	h'AWdIYd'UWdIY
howdyshell	h'AWdIHSHEHLX
howe	h'AW
howe's	h'AWz
howell	h'AWIXLX
howell's	h'AWIXLXz
howells	h'AWIXLXz
howenstine	h'AWIHnstIYn
hower	h'AWER
howerter	h'AWERtER
howerton	hAW'ERtIXn
howery	h'AWERIY
howes	h'AWz
howeth	h'AWIHTH
however	h"AW'EHvER
howey	h'AWIY
howie	h'AWIY
howie's	h'AWIYz
howington	h'AWIHNGtIXn
howison	h'AWIHsIXn
howitt	h'AWIHt
howitzer	h'AWIXtsER
howitzers	h'AWIXtsERz
howk	h'AWk
howl	h'AWLX
howland	h'AWlIXnd
howle	h'AWIXLX
howled	h'AWLXd
howler	h'AWlER
howlett	h'AWlIHt
howley	h'AWlIY
howling	h'AWlIHNG
howls	h'AWLXz
howmet	h'AWmIXt
howorth	h'AAwERTH
howry	h'AWrIY
howsare	h'AWsER
howse	h'AWz
howsell	h'AWzIXLX
howser	h'AWzER
howson	h'AWsIXn
howtek	h'AWt"EHk
howton	h'AWtIXn
howze	h'AWz
hoxie	h'AAksIY
hoxsey	h'AAksIY
hoxsie	h'AAksIY
hoxworth	h'AAkswERTH
hoy	h'OY
hoye	h'OY
hoyer	h'OYER
hoying	h'OYIHNG
hoylake	h'OYl"EYk
hoyland	h'OYlIXnd
hoyle	h'OYLX
hoyne	h'OYn
hoyos	h'OYOWz
hoyt	h'OYt
hoyvald	h'OYvIXLXd
hp	'EYtSHp'IY
hr	'EYtSH'AAr
hrabak	hr'AAbIXk
hrawi	hr'AAwIY
hrdlicka	hERdl'IHskIX
hreha	hr'IYhIX
hren	hr'EHn
hribar	hrIHb'AAr
hritz	hr'IHts
hrivnak	hr'IHvnIXk
hrncir	h'ERntSHER
hron	hr'AAn
hronek	hr'OWnIHk
hrovat	hr'OWvIXt
hrubik	hIHr'UWbIHk
hruby	hr'UWbIY
hruska	hr'UHskIX
hsbc	'EYtSH'EHsb'IYs'IY
hsia	SH'AA
hsiao	SH'AW
hsieh	SHIY'EH
hsiung	SHIY'AHNG
hsiung's	SHy'AHNGz
hsu	SH'UW
html	"EYtSHt"IY"EHm'EHLX
http	"EYtSHt"IYt"IYp'IY
hu	h'UW
hua	h'UWIX
huachuca	hwAAtSH'UWkIX
huadong	hw'AAd"OWNG
huairou	hw'AYrUW
huallaga	hwAAl'AAgIX
huan	hw'AAn
huaneng	hw'AAn'EHNG
huang	hw'AENG
huard	hw'AArd
hub	h'AHb
hubbard	h'AHbERd
hubbard's	h'AHbERdz
hubbart	h'AHbERt
hubbell	h'AHbIXLX
hubbell's	h'AHbIXLXz
hubbert	h'AHbERt
hubble	h'AHbIXLX
hubble's	h'AHbIXLXz
hubbs	h'AHbz
hubbub	h'AHbIXb
hubby	h'AHbIY
hubcap	h'AHbk"AEp
hubcaps	h'AHbk"AEps
hubco	h'AHbkOW
hube	hy'UWb
huber	hy'UWbER
huberman	h'UWbERmIXn
hubers	h'UWbERz
hubert	hy'UWbERt
hubert's	hy'UWbERts
huberta	hUWb'EHrtIX
huberto	hUWb'EHrtOW
huberty	h'AHbERtIY
hubka	h'AHbkIX
hubler	hy'UWbIXlER
hubley	h'AHblIY
hubner	h'AHbnER
hubor	hy'UWbER
hubris	hy'UWbrIXs
hubs	h'AHbz
huch	h'AHtSH
huchison	h'AHtSHIXsIHn
huck	h'AHk
huckaba	h'AHkIXbIX
huckabay	h'AHkIXb"EY
huckabee	h'AHkIXbIY
huckaby	h'AHkIXbIY
hucke	h'AHk
huckeba	h'AHkIHbIX
huckelby	h'AHkIXLXbIY
huckelby'll	h'AHkIXLXbIYIXLX
huckelby's	h'AHkIXLXbIYz
hucker	h'AHkER
huckins	h'AHkIHnz
huckle	h'AHkIXLX
huckleberry	h'AHkIXLXb"EHrIY
hucks	h'AHks
huckstep	h'AHkstIHp
huckster	h'AHkstER
hucksters	h'AHkstERz
hud	h'AHd
hud's	h'AHdz
huda	h'UWdIX
hudak	h'UWdIXk
huddie	h'AHdIY
huddle	h'AHdIXLX
huddled	h'AHdIXLXd
huddles	h'AHdIXLXz
huddleson	h'AHdIXLXsIXn
huddleston	h'AHdIXLXstIXn
huddling	h'AHdIXlIHNG
huddy	h'AHdIY
hudec	h'UWdIHk
hudecek	h'AHdIHtSHEHk
hudek	h'UWdIHk
hudelson	h'AHdIHLXsIXn
hudgens	h'AHdZHIXnz
hudgins	h'AHdZHIHnz
hudkins	h'AHdkIHnz
hudler	h'UWdIXlER
hudlow	h'AHdlOW
hudman	h'AHdmIXn
hudnall	h'AHdnIXLX
hudnell	h'AHdnIXLX
hudnut	h'AHdn"AHt
hudock	h'AHdIXk
hudon	h'UWdIXn
hudson	h'AHdsIXn
hudson's	h'AHdsIXnz
hudspeth	h'AHdspIHTH
hudsucker	h'AHds"AHkER
hudwon	h'AHdwIXn
hudy	hy'UWdIY
hudzik	h'AHdzIHk
hue	hy'UW
huebel	h'UHbIXLX
hueber	h'UHbER
huebert	h'UHbERt
huebner	hy'UWbnER
huebsch	h'UHbSH
hued	hy'UWd
huegel	h'UHgIXLX
hueglin	hy'UWglIHn
huelskamp	h'UHLXskAEmp
huelsman	h'UHLXsmIXn
huelsmann	h'UHLXsmIXn
huenink	h'UHnIHNGk
huerst	h'ERst
huerta	hw'EHrt"AH
huerter	h'ERtER
hues	hy'UWz
huesman	h'UHsmIXn
huestis	h'UHstIHs
hueston	h'UHstIXn
huether	h'UHDHER
huett	h'UWt
huetta	hUW'EHtIX
huette	h'UWt
huettl	h'UHtIXLX
huettner	h'UHtnER
huey	hy'UWIY
hufbauer	h'AHfb"AWER
huff	h'AHf
huff's	h'AHfs
huffaker	h'AHfIXkER
huffed	h'AHft
huffer	h'AHfER
huffine	h'AHf"AYn
huffines	h'AHf"AYnz
huffing	h'AHfIHNG
huffington	h'AHfIHNGtIXn
huffington's	h'AHfIHNGtIXnz
huffman	h'AHfmIXn
huffmaster	h'AHfm"AEstER
hufford	h'AHfERd
huffs	h'AHfs
huffstetler	h'AHfstIHtIXlER
huffstutler	h'AHfstUWtIXlER
huffy	h'AHfIY
huffy's	h'AHfIYz
hufnagel	h'AHfn"EYgIXLX
hufnagle	h'AHfn"EYgIXLX
hufstedler	h'AHfstIHdIXlER
hufstetler	h'AHfstIHtIXlER
hug	h'AHg
huge	hy'UWdZH
hugel	h'UWgIXLX
hugely	hy'UWdZHlIY
hugest	hy'UWdZHIXst
hugette	hIXZH'EHt
hugg	h'AHg
huggard	h'AHgERd
hugged	h'AHgd
hugger	h'AHgER
huggett	h'AHgIHt
huggies	h'AHgIYz
hugging	h'AHgIHNG
huggins	h'AHgIHnz
huggler	h'AHglER
huggy	h'AHgIY
hugh	hy'UW
hughart	h'AHgh"AArt
hughbanks	h'AHbIXNGks
hughen	hy'UWIXn
hughes	hy'UWz
hughes's	hy'UWzIHz
hughett	hy'UWIHt
hughette	hy"UW'EHt
hughey	h'AHgIY
hughie	hy'UWIY
hughlett	hy'UWlIHt
hughley	h'AHglIY
hughs	y'UWz
hughson	h'AHgsIXn
hughston	h'AHgstIXn
hughy	hy'UWIY
hugill	h'AHdZHIXLX
hugley	h'AHglIY
hugo	hy'UWgOW
hugo's	hy'UWgOWz
hugoton	hy'UWgOWtIXn
hugs	h'AHgz
huguenin	hUWgEYn'IYn
huguenot	hy'UWgIXn"AAt
huguenots	hy'UWgIXn"AAts
huguet	h'UWgEYt
huguley	h'AHgyUWlIY
hugus	hy'UWgIXs
huh	h'AH
huhn	h'AHn
huhta	h'UWtIX
hui	h'UWIH
